Date,Open,High,Low,Close,Volume,Adj Close,Dividends
2009-12-10,86.62,86.89,86.61,86.89,401000,66.01,0.0
2009-12-11,87.0,87.06,86.84,86.94,444100,66.05,0.0
2009-12-14,87.0,87.76,87.0,87.64,1132700,66.58,0.0
2009-12-15,87.6,87.7,87.26,87.55,417600,66.51,0.0
2009-12-16,87.75,87.79,87.31,87.75,621100,66.66,0.0
2009-12-17,87.6,87.78,87.49,87.7,350200,66.63,0.0
2009-12-18,87.78,87.83,87.61,87.65,281600,66.59,0.0
2009-12-21,87.81,87.94,87.65,87.91,646800,66.79,0.0
2009-12-22,88.0,88.12,87.87,88.1,432500,66.93,0.0
2009-12-23,88.15,88.45,88.12,88.31,440100,67.09,0.0
2009-12-24,88.39,88.77,88.3,88.64,188800,67.34,0.0
2009-12-28,88.73,88.8,88.25,88.38,532400,67.14,0.0
2009-12-29,87.85,87.9,87.3,87.33,494600,66.78,0.58
2009-12-30,87.5,87.78,87.43,87.7,421600,67.07,0.0
2009-12-31,87.84,87.9,87.58,87.84,346000,67.17,0.0
2010-01-04,88.0,88.53,88.0,88.53,1316800,67.7,0.0
2010-01-05,88.75,89.08,88.42,88.95,733000,68.02,0.0
2010-01-06,89.04,89.26,89.0,89.18,715700,68.2,0.0
2010-01-07,89.38,89.63,89.11,89.54,956000,68.47,0.0
2010-01-08,89.56,89.81,89.51,89.68,711400,68.58,0.0
2010-01-11,89.5,89.71,89.48,89.6,895800,68.52,0.0
2010-01-12,89.5,90.29,89.05,89.14,1133900,68.17,0.0
2010-01-13,89.1,89.42,89.1,89.34,868900,68.32,0.0
2010-01-14,89.44,89.48,89.21,89.44,394600,68.4,0.0
2010-01-15,89.52,89.52,88.99,89.08,835300,68.12,0.0
2010-01-19,89.0,89.2,88.97,89.12,796900,68.15,0.0
2010-01-20,89.15,89.21,88.86,88.99,588500,68.05,0.0
2010-01-21,89.16,89.16,87.6,87.6,1416800,66.99,0.0
